t,theta_r,theta
1.64,-2.2008601867648494,16.58062789394613
1.64,-2.092649773141201,16.755160819145562
1.65,-1.9355701404617116,16.929693744344995
1.65,-1.8133970928221086,17.10422666954443
1.65,-1.6427038919770631,17.278759594743864
1.66,-1.558334675935657,17.278759594743864
1.66,-1.3735741213195374,17.453292519943297
1.67,-1.2356931104119853,17.62782544514273
1.67,-1.1885692206081384,17.62782544514273
1.68,-1.0733774899765127,17.802358370342162
1.68,-0.9023352232810684,17.976891295541595
1.68,-0.7714355293814937,18.151424220741028
1.69,-0.5654866776461628,18.32595714594046
1.69,-0.4764748857944519,18.32595714594046
1.7,-0.30717794835100193,18.500490071139893
1.7,-0.20420352248333662,18.675022996339326
1.7,-0.08726646259971647,18.675022996339326
1.71,0.03316125578789236,18.84955592153876
1.71,0.19198621771937624,19.02408884673819
1.72,0.33161255787892263,19.198621771937624
1.72,0.4363323129985824,19.373154697137057
1.73,0.6108652381980153,19.373154697137057
1.73,0.7853981633974483,19.722220547535922
1.73,0.9075712110370514,19.722220547535922
1.74,1.0471975511965976,19.896753472735355
1.74,1.1519173063162575,20.07128639793479
1.75,1.2915436464758039,20.07128639793479
1.75,1.4660765716752369,20.245819323134224
1.75,-4.6600291028248595,20.420352248333657
1.76,-4.537856055185257,20.59488517353309
1.76,-4.4156830075456535,20.769418098732523
1.77,-4.293509959906051,20.769418098732523
1.77,-4.153883619746504,20.943951023931955
1.78,-3.9968039870670147,21.118483949131388
1.78,-3.822271061867582,21.29301687433082
1.78,-3.735004599267865,21.467549799530254
1.79,-3.6302848441482056,21.467549799530254
1.79,-3.490658503988659,21.642082724729686
1.8,-3.351032163829113,21.81661564992912
1.8,-3.2358404331974873,21.81661564992912
1.8,-3.1433379828417873,21.991148575128552
1.81,-3.0159289474462017,22.165681500327985
1.81,-2.9059732045705586,22.165681500327985
1.82,-2.7523842303950574,22.340214425527417
1.82,-2.712241657599188,22.340214425527417
1.83,-2.562143341927676,22.51474735072685
1.83,-2.420771672516135,22.689280275926283
1.83,-2.2689280275926285,22.863813201125716
1.84,-2.1903882112528836,22.863813201125716
1.84,-2.0856684561332237,23.03834612632515
1.85,-1.9460421159736774,23.212879051524585
1.85,-1.8535396656179781,23.212879051524585
1.85,-1.680228470894941,23.387411976724017
1.86,-1.5365878734558078,23.56194490192345
1.86,-1.4236650708517744,23.736477827122883
1.87,-1.2793263417118435,23.911010752322316
1.87,-1.1676252695842066,23.911010752322316
1.88,-1.054178868204575,24.08554367752175
1.88,-0.895353906273091,24.26007660272118
1.88,-0.788888821901437,24.26007660272118
1.89,-0.6422811647339133,24.434609527920614
1.89,-0.5323254218582705,24.609142453120047
